If $a_{1}, a_{2}, a_{3}\cdots, a_{n}$ in AP with common difference d, find some of the series $sin(d)\left[cosec(a_{1}\cdot cosec(a_{2}) + cosec(a_{2}\cdot cosec(a_{3}) + cosec(a_{3}\cdot cosec(a_{4})\cdot + cosec(a_{n - 1}\cdot cosec(a_{n})\right]d$|te answer is $cot(a_{1}) - cot(a_{n})$|hard|$cot(a_{1}) - cot(a_{n})$|$tan(a_{1}) - tan(a_{n})$|$sec(a_{1}) - sec(a_{n})$|$cos(a_{1}) - cos(a_{n})$|$cot(a_{1}) - cot(a_{n})$
If $a_{1}, a_{2}, a_{3}\cdots, a_{n}$ in AP where $a_{i} > 0$ for all i, then $\frac{1}{\sqrt{a_{1}} + \sqrt{a_{2}}} + \frac{1}{\sqrt{a_{2}} + \sqrt{a_{3}}} + \frac{1}{\sqrt{a_{3}} + \sqrt{a_{4}}}\cdots + \frac{1}{\sqrt{a_{n - 1}} + \sqrt{a_{n}}}$ equals|the answer is $\frac{n - 1}{\sqrt{a_{1}} + \sqrt{a_{n}}}$|medium|0|1|$\frac{n - 1}{\sqrt{a_{1}} + \sqrt{a_{n}}}$|none of these|$\frac{n - 1}{\sqrt{a_{1}} + \sqrt{a_{n}}}$
If $a_{1}, a_{2}, a_{3}\cdots, a_{n}$ in AP with common difference d, then $\sum\limits_{i=2}^{n} tan^{-1}\frac{d}{1 + a_{n - 1}\cdot a_{n}}$ equals|the answer is $tan_{-1}\frac{a_{n} - a_{1}}{1 + a_{1}\cdot a_{n}}$|hard|$tan_{-1}\frac{a_{n} - a_{1}}{1 + a_{1}\cdot a_{n}}$|$tan_{-1}\frac{a_{n} + a_{1}}{1 - a_{1}\cdot a_{n}}$|$tan_{-1}\frac{1 - a_{1}\cdot a_{n}}{a_{n} + a_{1}}$|$tan_{-1}\frac{1 + a_{1}\cdot a_{n}}{a_{n} - a_{1}}$|$tan_{-1}\frac{a_{n} - a_{1}}{1 + a_{1}\cdot a_{n}}$
If $a_{1}, a_{2}, a_{3}\cdots, a_{n}$ in AP with common difference d and first term a such that $a\cdot d \gt 0$. Let $S_{n}= \frac{1}{a_{1}\cdot a_{2}} + \frac{1}{a_{2}\cdot a_{3}} + \frac{1}{a_{3}\cdot a_{4}}\cdots + \frac{1}{a_{n - 1}\cdot a_{n}}$, then a_{1}\cdot a_{n}\cdot S_{n} equals|the answer is n - 1|medium|0|n - 1|n|1|n - 1
If $a_{1}, a_{2}, a_{3}\cdots, a_{n}, a_{n + 1}\cdots be in A.Pwhose common diffrence is d and $S_{1}=a_{1} +a_{2} + a_{3}\cdots + a_{n}$, $S_{2}= a_{n + 1} + a_{n + 2} + a_{n + 3}\cdots + a_{2n}$, $S_{3}= a_{2n + 1} + a_{2n + 2} + a_{2n + 3}\cdots + a_{3n}$ and so on $S_{1}, S_{2}, S_{3}\cdots S_{n}$ are in A.P. Its common diffrence is equal to|the answer is $n^{2}\cdot d$|medium|$n^{2}\cdot d$|$n\cdot d$|$n^{3}\cdot d$|none of these|$n^{2}\cdot d$
If a, b, c are in A.P such that $a\neq b$, $\frac{b - c}{a - b}$ equals|the answer is 1|easy|1|2|-1|0|1
tan70^{\circ}, tan50^{\circ} + tan20^{\circ} and tan20^{\circ} are in|the answer is A.P|medium|A.P|G.P|H.P|none of these|A.P
If $log_{l}^{x}, log_{m}^{x}, log_{n}^{x}$ are in A.P and $x\neq 1$ then|the answer is $n^{2}= (l\cdot n)^{log_{l}^{m}}$|medium|$n^{2}= (l\cdot n)^{log_{l}^{m}}$|$n^{2}= (l\cdot n)^{log_{m}^{l}}$|$n^{2}= (m\cdot n)^{log_{l}^{m}}$|$n= (l\cdot n)^{log_{l}^{m}}$|$n^{2}= (l\cdot n)^{log_{l}^{m}}$
If the length of sides of the right angle triangle in AP then the ratio of their sides is|the answer is 3:4:5|medium|3:4:5|1:2:3|4:5:6|2:3:4|3:4:5
If $log_{3}^{2}, log_{3}^{2^{x} - 5}$ and $log_{3}^{2^{x} - \sfrac{7}{2}}$ are in A.P.What's the vslue of x?|the answer is 3|medium|3|2|1|4|3
What's the value of a for which $5^{1 + x} + 5^{1 - x}, \frac{a}{2}, 25^{x} + 25^{-x}$ are in A.P?|the answer is Sa \geq 12$|medium|Sa \geq 12$|Sa \geq 10$|Sa \geq 9$|none of these|Sa \geq 12$
If $3, 3log_{y}^{x},3log_{z}^{y}, 7log_{x}^{z}$ be in A.P, then|the answer is $x^{18}= y^{21}= z^{28}$|medium|$x^{18}= y^{21}= z^{28}$|$x^{28}= y^{21}= z^{18}$|none of these|both of these|$x^{18}= y^{21}= z^{28}$
If $log^{2}, log^{2^{x} + 1}, log^{2^{x} + 3}$ are in A.P, what is x?|the answer is $log^{5}$|medium|$log^{5}$|$log^{7}$|$log^{3}$|$log^{9}$|$log^{5}$
If $1, 3log_{y}^{x},3log_{z}^{y}, -15\cdot log_{x}^{z}$ be in A.P, then|the answer is $x= z^{3}$ and $y= z^{-3}$|medium|$x= z^{3}$ and $y= z^{-3}$|$x= z^{2}$ and $y= z^{-2}$|none of these|all of these|$x= z^{3}$ and $y= z^{-3}$
Can $\sqrt{2}, \sqrt{3}, \sqrt{5} be the terms of a single A.P$|the answer is no|hard|No|Yes|cann't be determined|insufficient information|No
A circle of one centimetre radius is drawn on a piece of paper with same centre 3n - 1 other circles are drawn of radii 2cm, 3cm, 4cm.The inner circle is painted blue, the ring between that and the next circles painted red, the next ring yellow, the other ring, blue, red, yellow, and so on, in this order.The areas of successasive rings are in|the andswer is A.P|medium|A.P|G.P|H.P|none of these|A.P
If x, y, z are in A.P (x, y, z $\neq$ 0) and $tan^{-1}x, tan^{-1}y, tan^{-1}z$ are also in A.P then|the answer is $x= y= z$|medium|x= 2y= 3z|x= y= z|none of these|x= y= 3z|x= y= z
If $\theta$ and $\alpha$ are two real numbers such that $\frac{cos^{4}\theta}{cos^{2}\alpha}, \frac{1}{2}, \frac{sin^{4}\theta}{sin^{2}\alpha}$ are in A.P, then $\frac{cos^{2n + 2}\theta}{cos^{2n}\alpha}, \frac{1}{2}, \frac{sin^{2n + 2}\theta}{sin^{2n}\alpha}$|the answer is A.P|A.P|hard||G.P|H.P|A.P
If $a_{n}= \int_{0}^{\pi} (\frac{sin(2nx)}{sin(x)}) \,dx$, then $a_{1}, a_{2}, a_{3}\cdots, a_{n}$ are in|the answer is A.P|medium|A.P|G.P|H.P|none of these|A.P
If $I_{n}= \int_{0}^{\frac{\pi}{4}} tan^{n}x$, then $\frac{1}{I_{2} + I_{4}}, \frac{1}{I_{3} + I_{5}}, \frac{1}{I_{4} + I_{6}}\cdots \frac{I_{n + 1}}{I_{n + 2}}$ are in|the answer is A.P|hard|A.P|G.P|H.P|none of these|A.P
If $I_{n}= \int_{0}^{\pi} \frac{1 - cos2nx}{1 - cos2x}dx\;or\;\int_{0}^{\pi} \frac{sin^{2}nx}{sin^{2}x}dx$ then $I_{1}, I_{2}, I_{3}$ are in the answer is A.P|the answer is A.P|hard|A.P|G.P|H.P|none of these|A.P
If $\alpha,\;\beta,\;\gamma$ are in A.P and $\alpha= sin(\beta + \gamma),\;\beta= sin(\gamma + \alpha),\;\gamma= sin(\alpha + \beta)$ then $tan\alpha= tan\beta= tan\gamma$|the answer is true|hard|true|false|cann't be determined|none of these|true
Suppose a, b and c are three positive real numbers in A.P such that abc= 4. The minimum value of b is|the answer is $4^{\frac{1}{3}$|medium|4^{2}|4^{\frac{1}{2}|$4^{\frac{1}{3}$|$4^{\frac{1}{4}$|$4^{\frac{1}{3}$
